                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9613,                 3.9405,                 1.9415,                0.00299,                0.60256,                0.09372,                0.07332,                 2.0159,                 4.0779,                 2.5307,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.7816,                 3.8638,                 1.8751,                0.00301,                0.60256,                0.04811,                0.03818,                  1.818,                 4.0516,                 2.3776,               0.093693,             0.00069307,             0.00069307
                      2,                 1.5865,                 3.7868,                 1.6705,                0.00299,                0.60256,                0.07023,                0.04644,                 1.4315,                 3.8661,                 1.7944,               0.090078,              0.0010782,              0.0010782
                      3,                 1.3496,                 3.5144,                 1.3982,                0.00369,                0.64103,                0.16355,                0.12557,                 1.1857,                  3.799,                 1.4104,               0.086455,              0.0014555,              0.0014555
                      4,                 1.0833,                 3.2677,                 1.2543,                 0.0039,                0.65385,                0.13726,                0.08525,                 1.1036,                 3.7674,                 1.3589,               0.082825,              0.0018248,              0.0018248
                      5,                 1.0877,                 3.2268,                 1.4044,                 0.0039,                0.65385,                0.16935,                0.09583,                 1.0531,                 3.6929,                  1.377,               0.079186,              0.0021861,              0.0021861
                      6,                 1.0156,                 2.4236,                 1.2939,                0.00471,                0.70513,                0.20667,                0.11252,                 1.0655,                 3.6136,                 1.4405,                0.07554,              0.0025396,              0.0025396
                      7,                 1.1161,                 1.9223,                 1.4345,                0.00606,                0.79487,                0.28018,                0.17615,                  1.038,                 3.5305,                 1.3792,               0.071885,              0.0028852,              0.0028852
                      8,                 1.0455,                 1.8919,                 1.2985,                  0.006,                0.79487,                0.36049,                0.22203,                0.99685,                 3.3994,                 1.2874,               0.068223,              0.0032228,              0.0032228
                      9,                 1.1095,                 1.6441,                 1.3496,                 0.0072,                0.88462,                0.32015,                0.20532,                 1.0893,                  3.237,                 1.3185,               0.064553,              0.0035525,              0.0035525
                     10,                 1.1713,                 1.5085,                 1.2993,                0.91756,                0.06507,                0.38599,                0.24888,                 1.0918,                 3.0977,                 1.3257,               0.060874,              0.0038743,              0.0038743
                     11,                 1.1489,                 1.4718,                 1.3241,                0.76254,                0.07692,                0.42322,                0.28423,                 1.2086,                  2.951,                 1.3189,               0.057188,              0.0041882,              0.0041882
                     12,                 1.1266,                  1.587,                 1.2647,                0.86675,                0.24132,                0.68382,                0.42626,                 1.1972,                 2.7261,                 1.2937,               0.053494,              0.0044941,              0.0044941
                     13,                0.94918,                 1.5247,                 1.1172,                0.83865,                0.32912,                0.68555,                0.41827,                 1.1071,                   2.62,                 1.2413,               0.049792,              0.0047922,              0.0047922
                     14,                 1.0205,                 1.2941,                 1.1884,                0.69844,                0.42001,                0.71001,                 0.5056,                 1.1558,                 2.4324,                 1.3402,               0.046082,              0.0050823,              0.0050823
                     15,                 1.0816,                 1.1923,                 1.1767,                0.77216,                0.63047,                0.78557,                0.50705,                 1.2588,                 2.2582,                 1.3868,               0.042364,              0.0053644,              0.0053644
                     16,                  1.079,                 1.1567,                 1.1185,                0.70435,                0.63239,                0.78836,                0.54814,                 1.1039,                 2.1977,                  1.287,               0.038639,              0.0056387,              0.0056387
                     17,                 1.0055,                 1.4217,                 1.1474,                0.83173,                0.48885,                0.71599,                0.46408,                 1.2448,                 2.5366,                 1.2792,               0.034905,              0.0059051,              0.0059051
                     18,                0.98893,                 1.4199,                 1.1398,                0.79116,                0.71467,                0.86957,                0.57304,                 1.1298,                 2.2441,                 1.2644,               0.031163,              0.0061635,              0.0061635
                     19,                0.93322,                 1.0823,                 1.1113,                0.95836,                0.77694,                0.89285,                0.61077,                  1.162,                 1.8536,                 1.3149,               0.027414,               0.006414,               0.006414
                     20,                  1.026,                 1.1081,                 1.1414,                0.93866,                0.83689,                0.93093,                0.60575,                 1.1125,                  2.093,                 1.2375,               0.023657,              0.0066566,              0.0066566
                     21,                   1.02,                 1.2627,                 1.1758,                0.97125,                 0.8183,                0.94111,                0.54944,                 1.3913,                 1.9859,                 1.5094,               0.019891,              0.0068913,              0.0068913
                     22,                 1.0496,                 1.0791,                 1.1569,                0.84735,                0.73716,                0.79149,                0.46914,                 1.2786,                 1.9548,                 1.4398,               0.016118,               0.007118,               0.007118
                     23,                 1.0244,                 1.0559,                 1.1519,                0.91973,                0.72174,                0.82315,                0.53014,                 1.3635,                 1.9921,                 1.4822,               0.012337,              0.0073369,              0.0073369
                     24,                 1.0165,                  1.058,                 1.1088,                0.93643,                0.77146,                0.93544,                0.53841,                 1.3065,                 1.8916,                  1.378,              0.0085478,              0.0075478,              0.0075478
                     25,                0.98383,                 1.0256,                 1.1099,                0.80273,                0.65779,                0.86746,                0.52165,                  1.309,                 1.5328,                 1.3788,               0.007525,               0.007525,               0.007525
                     26,                 1.0477,                0.92229,                 1.1509,                0.81823,                0.60776,                0.78069,                0.49406,                  1.259,                 1.8268,                 1.3288,               0.007525,               0.007525,               0.007525
                     27,                0.99223,                0.93584,                 1.0981,                0.80189,                0.83777,                 0.8617,                0.55254,                  1.152,                 1.3434,                 1.3263,               0.007426,               0.007426,               0.007426
                     28,                 1.0389,                 1.0774,                 1.1233,                0.76428,                0.70695,                 0.8425,                0.57289,                 1.1335,                 1.9106,                 1.3318,               0.007327,               0.007327,               0.007327
                     29,                 1.0164,                  1.091,                 1.1134,                0.79821,                0.81944,                0.87314,                0.56337,                 1.1724,                 1.3313,                 1.3356,               0.007228,               0.007228,               0.007228
                     30,                 1.0782,                 1.1584,                 1.2676,                0.84723,                0.82073,                0.88789,                0.52706,                 1.3077,                 1.4886,                 1.4196,               0.007129,               0.007129,               0.007129
                     31,                0.84823,                0.96504,                 1.0529,                 0.7471,                0.96109,                0.92563,                0.58653,                 1.1938,                 1.4915,                   1.38,                0.00703,                0.00703,                0.00703
                     32,                0.93587,                 1.1092,                 1.0925,                 0.9499,                0.81148,                0.95913,                0.58496,                 1.3133,                 1.3951,                 1.4566,               0.006931,               0.006931,               0.006931
                     33,                0.85793,                 1.0978,                 1.1278,                0.81379,                0.58654,                0.73561,                0.49954,                 1.2195,                 1.4496,                 1.4049,               0.006832,               0.006832,               0.006832
                     34,                0.99942,                 1.0443,                 1.1332,                0.80842,                0.92488,                0.92689,                0.60573,                 1.2628,                 1.2072,                 1.4594,               0.006733,               0.006733,               0.006733
                     35,                0.91375,                0.93061,                 1.0692,                0.85745,                0.94259,                0.96139,                0.64664,                 1.2153,                 1.1173,                 1.3773,               0.006634,               0.006634,               0.006634
                     36,                0.89268,                0.88011,                 1.0733,                0.88917,                0.95275,                0.94901,                0.58301,                 1.2805,                 1.1402,                  1.424,               0.006535,               0.006535,               0.006535
                     37,                0.94565,                0.89717,                 1.0881,                0.97644,                 0.8109,                 0.9506,                0.60072,                 1.1657,                    1.2,                  1.402,               0.006436,               0.006436,               0.006436
                     38,                 0.8856,                0.86892,                 1.0572,                0.91336,                0.94645,                0.95169,                0.58165,                   1.25,                 1.3162,                  1.454,               0.006337,               0.006337,               0.006337
                     39,                 0.9774,                0.91775,                 1.0438,                0.94464,                0.76886,                0.92144,                0.60395,                 1.1993,                 1.1536,                 1.3398,               0.006238,               0.006238,               0.006238
                     40,                0.95522,                0.87353,                 1.0799,                0.87524,                0.81455,                 0.9184,                 0.5787,                 1.2818,                 1.1413,                 1.4701,               0.006139,               0.006139,               0.006139
                     41,                0.96408,                0.83944,                  1.074,                0.91352,                0.82481,                0.91145,                0.61986,                  1.183,                  1.056,                 1.4178,                0.00604,                0.00604,                0.00604
                     42,                0.87286,                0.82297,                 1.0561,                0.90937,                0.83654,                0.91388,                0.59465,                 1.1641,                 1.0322,                 1.3317,               0.005941,               0.005941,               0.005941
                     43,                0.92076,                0.78313,                 1.0495,                0.93979,                0.93955,                0.97496,                 0.5857,                 1.2827,                 1.1436,                 1.4177,               0.005842,               0.005842,               0.005842
                     44,                0.79729,                0.85838,                 1.0126,                0.84706,                0.95874,                0.93444,                0.55464,                 1.3117,                 1.1305,                 1.5013,               0.005743,               0.005743,               0.005743
                     45,                0.94506,                0.91689,                 1.0421,                0.86042,                0.77142,                0.89871,                0.53254,                 1.2636,                 1.0992,                  1.453,               0.005644,               0.005644,               0.005644
                     46,                 0.9145,                0.76238,                 1.0531,                0.92427,                 0.8109,                0.92499,                0.56619,                 1.1987,                  1.002,                 1.4279,               0.005545,               0.005545,               0.005545
                     47,                0.91835,                0.76543,                 1.0538,                0.89024,                0.96441,                0.96584,                0.59103,                 1.2407,                0.98674,                 1.4984,               0.005446,               0.005446,               0.005446
                     48,                 0.8573,                0.73042,                 1.0059,                0.94901,                0.92125,                0.96066,                0.57094,                 1.3089,                 1.0383,                 1.5047,               0.005347,               0.005347,               0.005347
                     49,                0.92672,                0.76033,                 1.0139,                0.96957,                0.96154,                0.96486,                0.65388,                 1.1931,                0.94776,                  1.436,               0.005248,               0.005248,               0.005248
                     50,                0.80272,                0.88627,                 1.0625,                0.92376,                0.94076,                0.97137,                0.66385,                 1.2383,                 1.1027,                 1.4727,               0.005149,               0.005149,               0.005149
                     51,                0.82421,                0.82173,                0.99723,                0.97287,                0.95178,                 0.9785,                0.72285,                 1.1335,                0.87683,                 1.4041,                0.00505,                0.00505,                0.00505
                     52,                0.87898,                0.78057,                 1.0237,                0.94942,                0.94943,                0.97013,                0.64163,                 1.2132,                0.91855,                 1.4352,               0.004951,               0.004951,               0.004951
                     53,                0.91554,                0.78839,                 1.0157,                0.97337,                0.95302,                0.97662,                0.67936,                 1.1224,                0.85976,                 1.3436,               0.004852,               0.004852,               0.004852
                     54,                 0.9105,                0.72772,                 1.0512,                0.96619,                0.93615,                0.97786,                0.63262,                 1.2209,                0.87377,                 1.4042,               0.004753,               0.004753,               0.004753
                     55,                0.89255,                0.79956,                 1.0615,                0.97932,                0.90485,                0.98081,                0.63289,                 1.1402,                0.84919,                 1.3598,               0.004654,               0.004654,               0.004654
                     56,                0.87419,                0.73026,                  1.045,                0.98065,                0.92308,                0.97953,                0.62769,                 1.2381,                0.85868,                 1.4027,               0.004555,               0.004555,               0.004555
                     57,                0.88268,                0.75543,                 1.0261,                0.99875,                0.94843,                0.98183,                 0.6548,                 1.1789,                0.84564,                  1.395,               0.004456,               0.004456,               0.004456
                     58,                0.87613,                0.72461,                0.96315,                0.97794,                0.95195,                0.98196,                0.68884,                 1.1536,                0.83854,                 1.3771,               0.004357,               0.004357,               0.004357
                     59,                0.78886,                0.76498,                 1.0225,                      1,                0.94226,                0.97595,                0.69063,                 1.2369,                0.86622,                 1.4184,               0.004258,               0.004258,               0.004258
                     60,                0.82591,                  0.686,                 1.0311,                      1,                0.93783,                 0.9865,                 0.6878,                 1.1826,                0.87227,                 1.3813,               0.004159,               0.004159,               0.004159
